local_time,gpu_index,gpu_name,memory_used_mb,memory_total_mb,gpu_util_percent
2026/06/24 20:10:52.608,0,NVIDIA GeForce RTX 5090,5650,32607,37
2026/06/24 20:10:53.664,0,NVIDIA GeForce RTX 5090,5650,32607,32
2026/06/24 20:10:54.741,0,NVIDIA GeForce RTX 5090,5650,32607,40
2026/06/24 20:10:55.822,0,NVIDIA GeForce RTX 5090,5650,32607,33
2026/06/24 20:10:56.926,0,NVIDIA GeForce RTX 5090,5650,32607,34
2026/06/24 20:10:58.006,0,NVIDIA GeForce RTX 5090,5650,32607,39
2026/06/24 20:10:59.081,0,NVIDIA GeForce RTX 5090,5650,32607,36
2026/06/24 20:11:00.184,0,NVIDIA GeForce RTX 5090,5650,32607,34
2026/06/24 20:11:01.273,0,NVIDIA GeForce RTX 5090,5650,32607,33
2026/06/24 20:11:02.369,0,NVIDIA GeForce RTX 5090,5650,32607,40
2026/06/24 20:11:03.465,0,NVIDIA GeForce RTX 5090,5650,32607,27
2026/06/24 20:11:04.565,0,NVIDIA GeForce RTX 5090,5650,32607,41
2026/06/24 20:11:05.641,0,NVIDIA GeForce RTX 5090,5650,32607,37
2026/06/24 20:11:06.750,0,NVIDIA GeForce RTX 5090,5650,32607,30
2026/06/24 20:11:07.850,0,NVIDIA GeForce RTX 5090,5650,32607,30
2026/06/24 20:11:08.945,0,NVIDIA GeForce RTX 5090,5650,32607,12
2026/06/24 20:11:10.060,0,NVIDIA GeForce RTX 5090,5650,32607,25
2026/06/24 20:11:11.169,0,NVIDIA GeForce RTX 5090,5650,32607,34
2026/06/24 20:11:12.246,0,NVIDIA GeForce RTX 5090,5650,32607,27
2026/06/24 20:11:13.341,0,NVIDIA GeForce RTX 5090,5650,32607,36
2026/06/24 20:11:14.437,0,NVIDIA GeForce RTX 5090,5650,32607,38
2026/06/24 20:11:15.496,0,NVIDIA GeForce RTX 5090,5650,32607,27
2026/06/24 20:11:16.593,0,NVIDIA GeForce RTX 5090,5650,32607,32
2026/06/24 20:11:17.689,0,NVIDIA GeForce RTX 5090,5650,32607,36
2026/06/24 20:11:18.748,0,NVIDIA GeForce RTX 5090,5650,32607,28
2026/06/24 20:11:19.821,0,NVIDIA GeForce RTX 5090,5650,32607,39
2026/06/24 20:11:20.902,0,NVIDIA GeForce RTX 5090,5650,32607,30
2026/06/24 20:11:22.005,0,NVIDIA GeForce RTX 5090,5650,32607,31
2026/06/24 20:11:23.095,0,NVIDIA GeForce RTX 5090,5650,32607,36
2026/06/24 20:11:24.197,0,NVIDIA GeForce RTX 5090,5650,32607,38
2026/06/24 20:11:25.277,0,NVIDIA GeForce RTX 5090,5650,32607,43
2026/06/24 20:11:26.373,0,NVIDIA GeForce RTX 5090,5650,32607,34
